company_id,company,industry,public_strength,hypothesis_id,question,baseline_metric,unit,observed_value,measurement_plan,formula,secondary_measurements,possible_contribution,acceptance_boundary,sources,status
amara-bitters,Amara Bitters,Healthcare,"A focused alcohol-free product range is supported by a shop, recipes and educational content.",amara-bitters-h3,Would a pick-and-pack checklist reduce avoidable errors across product sizes and bundles?,Owner-confirmed picking errors per fulfilled order,errors/order,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,A simple order checklist compares ordered SKUs and quantities with a manually confirmed packed list.,No automatic refunds or order edits; retain every exception for review.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-amara-bitters | https://amara-bitters.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
autarko,Autarko,IT / Technology,SOVR's public design pairs customer-owned hardware with human approval and recorded decisions.,autarko-h1,Could a readiness checklist reduce missing information before a hardware-and-role configuration quote?,Quote requests needing a second requirements round,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"An intake validator records approved roles, data sources, access scope and hardware constraints before a human configuration review.",No hardware purchasing or customer-system access.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-autarko | https://autarko.ai/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
autarko,Autarko,IT / Technology,SOVR's public design pairs customer-owned hardware with human approval and recorded decisions.,autarko-h2,Would a source-freshness test help keep policy-based agent drafts tied to the correct document version?,Draft answers correctly citing the owner-approved current policy,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"An offline fixture suite mixes current, superseded and missing policy excerpts and checks citations and abstentions.",Use synthetic policies; no approval or autonomous task execution.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-autarko | https://autarko.ai/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
autarko,Autarko,IT / Technology,SOVR's public design pairs customer-owned hardware with human approval and recorded decisions.,autarko-h3,Could a measured workload comparison identify whether an agent role adds useful work within an agreed resource budget?,Whole-system energy per correctly completed and approved task,Wh/task,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A measurement worksheet compares the existing process with one SOVR role, retaining quality, elapsed time, overhead and uncertainty separately.","No energy-saving claim from CPU time, token counts or modeled power; qualified measurements are required.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-autarko | https://autarko.ai/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
bagel,Bagel,IT / Technology,Its cohort description centers demonstrable skills in hiring and learning.,bagel-h1,Could a consistent evidence checklist make a submitted skill portfolio easier for a reviewer to inspect?,Reviewer minutes per portfolio with complete supporting evidence,minutes/portfolio,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A fictional portfolio template links each claimed skill to an artifact, task description and review note.",No automated hiring recommendation or inferred skills.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-bagel | https://majo-frontend-s817.vercel.app/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
bagel,Bagel,IT / Technology,Its cohort description centers demonstrable skills in hiring and learning.,bagel-h2,Would clearer evidence instructions reduce candidate resubmissions caused by incomplete portfolios?,Portfolios returned solely for missing submission fields,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,A local completeness preview highlights omitted artifacts or explanations before a person submits them.,Do not alter assessments or help applicants misrepresent their work.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-bagel | https://majo-frontend-s817.vercel.app/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
bagel,Bagel,IT / Technology,Its cohort description centers demonstrable skills in hiring and learning.,bagel-h3,Could role-specific rubrics make human reviews more consistent without hiding disagreement?,Reviewer agreement on explicit rubric items,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,A synthetic calibration sheet compares independent reviewer labels and exposes disputed rubric wording.,Keep reviewers in charge; exclude protected traits and avoid candidate ranking.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-bagel | https://majo-frontend-s817.vercel.app/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
buyunrepped,BuyUnrepped,Real Estate,Its published workflow connects offer preparation and transaction coordination while keeping the buyer's decisions explicit.,buyunrepped-h1,Would an intake-completeness check reduce broker time spent chasing missing property or buyer-provided details?,Intakes complete before the broker's first review,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,A synthetic transaction checklist validates the presence of owner-selected intake fields and leaves uncertain entries blank.,"No drafting legal terms, deciding offer price or giving representation advice.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-buyunrepped | https://www.buyunrepped.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
buyunrepped,BuyUnrepped,Real Estate,Its published workflow connects offer preparation and transaction coordination while keeping the buyer's decisions explicit.,buyunrepped-h2,Could a date-source ledger make transaction reminders easier to verify before they are sent?,Proposed reminders with a confirmed source document and date,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A review-only deadline table stores the source, date, timezone and confirming person for each milestone.",No automatic legal deadline inference or messages; broker review is mandatory.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-buyunrepped | https://www.buyunrepped.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
buyunrepped,BuyUnrepped,Real Estate,Its published workflow connects offer preparation and transaction coordination while keeping the buyer's decisions explicit.,buyunrepped-h3,Would one explicit transaction status reduce repeated administrative updates across participants?,Staff minutes spent answering duplicate status inquiries,minutes/transaction,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"An owner-defined status template distinguishes awaiting information, broker review, offer-ready and coordination stages.",Do not contact counterparties or imply an offer has been submitted or accepted.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-buyunrepped | https://www.buyunrepped.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
c3-community-partners-dao-llcmeasures-registry,c3 Community Partners DAO,IT / Technology,"Measures Registry presents an assessment service for the operating conditions around AI, including authority, review, accountability, and stability. Its stated strength is governance of the environment in which AI is used.",c3-community-partners-dao-llcmeasures-registry-h1,Could evidence collection for an assessment be easier to complete and trace?,Assessment items missing a source or accountable owner,percent of items,UNKNOWN,"Start with 10 consecutive eligible tasks, or all tasks in one week; retain exceptions and record the sample size.",100 * items missing a required source or owner / required items,,"A local evidence register with source URL/file reference, observation date, owner, and unresolved question for each assessment item.",A reviewer confirms completeness; missing evidence stays unknown and is never filled with generated facts.,https://measuresregistry.com/ | https://measuresregistry.com/ai-operations-assessment/ | https://ec.co/takeoff-fall-2026-accelerator-cohort/ | https://c3field.online/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
c3-community-partners-dao-llcmeasures-registry,c3 Community Partners DAO,IT / Technology,"Measures Registry presents an assessment service for the operating conditions around AI, including authority, review, accountability, and stability. Its stated strength is governance of the environment in which AI is used.",c3-community-partners-dao-llcmeasures-registry-h2,Can changes to authority or review responsibilities be detected without repeating the whole assessment?,Reviewer time to classify a recorded operational change,minutes/change,UNKNOWN,"Start with 10 consecutive eligible tasks, or all tasks in one week; retain exceptions and record the sample size.",total reviewer minutes / classified changes,,Diff two owner-approved responsibility registers and show changed fields with before/after values and an affected-review checklist.,"No automatic policy changes, permission grants, or assurance claims; a named owner decides materiality.",https://measuresregistry.com/ | https://measuresregistry.com/ai-operations-assessment/ | https://ec.co/takeoff-fall-2026-accelerator-cohort/ | https://c3field.online/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
c3-community-partners-dao-llcmeasures-registry,c3 Community Partners DAO,IT / Technology,"Measures Registry presents an assessment service for the operating conditions around AI, including authority, review, accountability, and stability. Its stated strength is governance of the environment in which AI is used.",c3-community-partners-dao-llcmeasures-registry-h3,Could two reviewers reach more consistent decisions using the same assessment rubric?,Disagreement rate on a shared sample,percent of items,UNKNOWN,"Start with 10 consecutive eligible tasks, or all tasks in one week; retain exceptions and record the sample size.",100 * items assigned different categories by two reviewers / double-reviewed items,,"A blinded rubric comparison sheet that preserves both decisions, reasons, and adjudication; optional AI drafts a neutral discrepancy summary.",No invented scoring validity; preserve disagreements rather than forcing agreement or averaging incompatible judgments.,https://measuresregistry.com/ | https://measuresregistry.com/ai-operations-assessment/ | https://ec.co/takeoff-fall-2026-accelerator-cohort/ | https://c3field.online/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
claridense,Claridense,Healthcare,The cohort describes a focused breast-screening service concept.,claridense-h1,Could a nonclinical inquiry checklist make administrative follow-up more consistent?,Inquiries receiving an owner-approved administrative response within the chosen interval,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A synthetic inquiry log tracks contact preference, service questions and response ownership without health details.","No eligibility, risk or diagnostic assessment.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-claridense | http://www.claridense.com,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
claridense,Claridense,Healthcare,The cohort describes a focused breast-screening service concept.,claridense-h2,Would an appointment-preparation tracker reduce missing administrative prerequisites?,Scheduled test cases with all owner-defined administrative steps confirmed,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,A checklist template records appointment confirmation and approved preparation-material delivery using fictional records.,Clinical staff define all preparation instructions; the starter contains no patient data.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-claridense | http://www.claridense.com,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
claridense,Claridense,Healthcare,The cohort describes a focused breast-screening service concept.,claridense-h3,Could version tracking keep public descriptions consistent across the website and appointment materials?,Public statements linked to the current owner-approved text,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,A copy register compares service descriptions and flags unapproved wording for human review.,"Do not generate or strengthen efficacy, approval or comparative clinical claims.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-claridense | http://www.claridense.com,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
clark-wester-corporation,Clark Wester,Financial Services,"The public studio portfolio shows distinct finance, client-systems and media ventures within a connected structure.",clark-wester-corporation-h1,Could a shared inquiry taxonomy make it easier to direct a request to the correct venture?,Inquiries reassigned after initial routing,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,A review-only intake map classifies the request type against the studio's published venture descriptions.,Do not infer financial needs or send messages automatically.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-clark-wester-corporation | https://clarkwester.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
clark-wester-corporation,Clark Wester,Financial Services,"The public studio portfolio shows distinct finance, client-systems and media ventures within a connected structure.",clark-wester-corporation-h2,Would a common definition sheet make cross-venture reporting easier to reconcile?,Reported metrics with an agreed definition and source,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A metric dictionary records owner, period, numerator, denominator and source for each selected operational measure.","Do not combine incomparable audiences, revenues or periods.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-clark-wester-corporation | https://clarkwester.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
clark-wester-corporation,Clark Wester,Financial Services,"The public studio portfolio shows distinct finance, client-systems and media ventures within a connected structure.",clark-wester-corporation-h3,Could a source-and-approval checklist shorten preparation of reusable executive and media content?,Revision rounds caused by missing sources or approvals,rounds/item,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A content brief links approved evidence and reuse rights to each planned article, talk or client explanation.","No fabricated citations, investment recommendations or automatic publication.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-clark-wester-corporation | https://clarkwester.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
cog-learning-inc,COG Learning,Education,"Its reading product is designed around shared adult-child interaction, with reading logs and prompts.",cog-learning-inc-h1,Could a parent-facing setup checklist make the first shared reading session easier to begin?,Adult testers completing setup without assistance,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A synthetic onboarding checklist separates account setup, device checks and session-start steps.","No child identifiers, recordings or developmental assessments.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-cog-learning-inc | https://www.coglearning.org/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
cog-learning-inc,COG Learning,Education,"Its reading product is designed around shared adult-child interaction, with reading logs and prompts.",cog-learning-inc-h2,Would a prompt-review worksheet help check that reading questions match the selected text and intended activity?,Owner-reviewed prompts meeting the declared content rubric,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"An offline rubric records source passage, question intent, reading context and reviewer corrections for licensed sample text.",Human educators review all prompts; no claimed literacy improvement.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-cog-learning-inc | https://www.coglearning.org/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
cog-learning-inc,COG Learning,Education,"Its reading product is designed around shared adult-child interaction, with reading logs and prompts.",cog-learning-inc-h3,Could a minimal session log distinguish technical interruptions from voluntary session endings?,Sessions with an interpretable completion or interruption reason,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A fictional event-log validator checks session start, prompt display, user stop and technical-error ordering.",Do not infer a child's ability or behavior from interaction duration.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-cog-learning-inc | https://www.coglearning.org/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
compounds-dev-inc,Compounds Dev,IT / Technology,"The platform description brings architecture, software delivery and governance into one engineering workflow.",compounds-dev-inc-h1,Could a dependency inventory make a legacy-change review easier to scope before code generation?,Changes with a reviewer-confirmed dependency map before implementation,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A read-only change brief maps an owner-selected sample repository's files, callers and declared interfaces to the proposed task.",No automatic code changes; unresolved dependencies remain explicit.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-compounds-dev-inc | https://compounds.dev/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
compounds-dev-inc,Compounds Dev,IT / Technology,"The platform description brings architecture, software delivery and governance into one engineering workflow.",compounds-dev-inc-h2,Would consistent evidence in a review packet reduce clarification rounds for AI-assisted changes?,"Review rounds requesting missing tests, rationale or source context",rounds/change,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A checklist assembles diff scope, test receipts, known limitations and rollback notes from existing artifacts.",Do not treat passing tests as proof of security or overall correctness.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-compounds-dev-inc | https://compounds.dev/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
compounds-dev-inc,Compounds Dev,IT / Technology,"The platform description brings architecture, software delivery and governance into one engineering workflow.",compounds-dev-inc-h3,Could a policy-fixture suite expose when a generated change should abstain or request human review?,Policy scenarios producing the owner-approved decision,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"An offline synthetic suite exercises missing credentials, prohibited dependencies and conflicting requirements against declared rules.",Keep required constraints separate from weighted scores; no bypass or deployment.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-compounds-dev-inc | https://compounds.dev/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
csh-hub,CSH-HUB,Construction,The public product connects construction documents and coordination with job costing and billing.,csh-hub-h1,Could a project-to-cost-code check identify handoff fields that need review before billing preparation?,Approved work items with a valid owner-confirmed cost-code link,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A synthetic export validator checks project IDs, approved work references and cost-code completeness.","No payroll, billing or accounting system writes.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-csh-hub | https://csh-hub.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
csh-hub,CSH-HUB,Construction,The public product connects construction documents and coordination with job costing and billing.,csh-hub-h2,Would an explicit document-version register reduce ambiguity during submittal review?,Review tasks linked to the confirmed current document revision,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A small manifest compares document IDs, revision labels and approval status while preserving superseded versions.",Do not declare drawings safe or approved; the responsible reviewer confirms status.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-csh-hub | https://csh-hub.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
csh-hub,CSH-HUB,Construction,The public product connects construction documents and coordination with job costing and billing.,csh-hub-h3,Could an RFI timeline audit make delayed handoffs easier to explain?,"RFIs with complete sent, assigned and response timestamps",percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A local event checker finds missing owners, impossible event order and elapsed-time outliers in fictional RFI records.",No inferred contractual deadlines or automated notices.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-csh-hub | https://csh-hub.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
decrē,DECRĒ,Professional Services,"Its catalog offers in-person coaching, subscriptions and standalone programs through one training brand.",decrē-h1,Could a preference-based intake make the right administrative program information easier to find?,Prospects reaching the owner-approved program information without clarification,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A program comparison worksheet uses delivery format, schedule and support preferences from the published catalog.","No exercise prescription, health screening or medical suitability judgment.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-decrē | https://decretraining.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
decrē,DECRĒ,Professional Services,"Its catalog offers in-person coaching, subscriptions and standalone programs through one training brand.",decrē-h2,Would a session-confirmation checklist reduce avoidable scheduling confusion?,"Sessions with confirmed time, location and cancellation terms",percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,An editable booking checklist flags missing confirmations and displays owner-approved policy links.,No automatic bookings or cancellation decisions.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-decrē | https://decretraining.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
decrē,DECRĒ,Professional Services,"Its catalog offers in-person coaching, subscriptions and standalone programs through one training brand.",decrē-h3,Could a weekly administrative check-in queue reduce manual follow-up preparation?,Coach preparation minutes per completed administrative check-in,minutes/check-in,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,A local template groups client-supplied scheduling requests and unanswered program-access questions for coach review.,Exclude health details and exercise changes; all replies are drafts.,https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-decrē | https://decretraining.com/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
double-r-strategies-and-consulting,Double R Strategies and Consulting,Transportation,Its published services combine organizational consulting and training around community reintegration.,double-r-strategies-and-consulting-h1,Could a partner-handoff checklist make responsibility for each administrative next step clearer?,Program handoffs with a confirmed organizational owner and next step,percent,UNKNOWN,"Agree eligible work, observation window, quality threshold and exclusions with the owner before comparing.",,,"A fictional referral-event table tracks sending organization, receiving organization, acknowledgment and agreed next step.","No criminal-history records, participant ranking or eligibility decisions.",https://ec.co/takeoff-fall-2026-accelerator-cohort/#c-double-r-strategies-and-consulting | https://www.drsac.net/,HYPOTHESIS_REQUIRES_OWNER_VALIDATION
